== CAPACTIY:
  MXU|  XLU| VALU|  EUP| LOAD|STORE| SALU
    2     2     4     1     3     2     2
== UTILIZATION:
0 0 0 0 0 0 0
0 0 3 0 0 0 0
0 0 1 0 2 0 0
0 0 0 0 1 0 0
0 0 1 0 1 0 1
0 0 0 0 0 0 1
0 0 4 0 0 0 2
0 0 0 0 0 0 2
0 0 4 0 0 0 0
0 0 2 0 0 0 1
0 0 4 0 0 0 0
0 0 4 0 0 0 1
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 3 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 3 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 2 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 3 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 3 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 1 0 0 0 0
0 0 3 0 0 0 0
0 0 1 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 3 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 3 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 1 0 0 0 0
0 0 3 0 0 0 0
0 0 1 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 3 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 3 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 3 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 3 0 0 0 0
0 0 2 0 0 0 0
0 0 2 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 1 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 3 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 3 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 3 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 3 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 3 0 0 0 0
0 0 2 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 2 0 0 0 0
0 0 2 0 0 0 0
0 0 2 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 2 0 0 0 0
0 0 2 0 0 0 0
0 0 2 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 3 0 0 0 0
0 0 3 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 4 1 0 0 0
0 0 3 0 0 0 0
0 0 4 0 0 0 0
0 0 2 1 0 0 0
0 0 4 0 0 0 0
0 0 1 0 0 0 0
0 0 3 0 0 0 0
0 0 1 1 0 0 0
0 0 1 0 0 0 0
0 0 1 0 0 0 0
0 0 1 0 0 0 0
0 0 0 0 0 0 0
0 0 2 0 0 0 0
0 0 3 0 0 0 0
0 0 2 0 0 0 0
0 0 1 0 0 0 0
0 0 4 0 0 0 0
0 0 4 1 0 0 0
0 0 3 0 0 0 0
0 0 4 0 0 0 0
0 0 4 1 0 0 0
0 0 4 0 0 0 0
0 0 3 0 0 0 0
0 0 4 0 0 0 0
0 0 4 1 0 0 0
0 0 4 1 0 0 0
0 0 3 0 0 0 0
0 0 2 0 0 0 0
0 0 0 0 0 0 0
0 0 1 0 0 0 0
0 0 1 0 0 0 0
0 0 3 0 0 0 0
0 0 1 0 0 0 0
0 0 1 0 0 0 0
0 0 3 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 1 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 3 0 0 0 0
0 0 1 0 0 0 0
0 0 2 0 0 0 0
0 0 3 0 0 0 0
0 0 3 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 4 0 0 0 0
0 0 2 0 0 0 0
0 0 3 0 0 0 0
0 0 3 0 0 0 0
0 0 2 0 0 0 0
0 0 3 0 0 0 0
0 0 1 0 0 0 0
0 0 3 0 0 0 0
0 0 1 0 0 0 0
0 0 3 0 0 0 0
0 0 1 0 0 0 0
0 0 4 0 0 0 0
0 0 3 0 0 1 0
0 0 1 0 0 0 0
0 0 2 0 0 0 0
0 0 0 0 0 1 0
0 0 2 0 0 0 0
0 0 1 0 0 0 0
0 0 1 0 0 0 0
0 0 0 0 0 1 0
0 0 1 0 0 0 0
0 0 1 0 0 0 0
0 0 1 0 0 0 0
0 0 1 0 0 0 0
0 0 1 0 0 0 0
0 0 1 0 0 0 0
0 0 1 0 0 0 0
0 0 1 0 0 0 0
0 0 1 0 0 0 0
0 0 1 0 0 0 0
0 0 0 0 0 1 0
0 0 0 0 0 0 1
0 0 0 0 0 0 1
0 0 0 0 1 0 0
0 0 0 0 1 0 0
0 0 0 0 1 0 0
