ordinal=0 before=1515 after=1633 expansion=1.07789
ordinal=1 before=1509 after=1619 expansion=1.0729
ordinal=4 before=14 after=15 expansion=1.07143
ordinal=35 before=1304 after=1399 expansion=1.07285
ordinal=51 before=106 after=112 expansion=1.0566
ordinal=53 before=18 after=23 expansion=1.27778
ordinal=54 before=24 after=29 expansion=1.20833
ordinal=55 before=995 after=1004 expansion=1.00905
ordinal=59 before=121 after=139 expansion=1.14876
ordinal=106 before=14 after=15 expansion=1.07143
ordinal=107 before=1473 after=1582 expansion=1.074
